Artista;Gênero;Década de nascimento;UF de nascimento;Nome
adoniran-barbosa;Homem;1910-1919;SP;Adoniran Barbosa
agepe;Homem;1940-1949;RJ;Agepê
alcione;Mulher;1940-1949;MA;Alcione
aldir-blanc;Homem;1940-1949;RJ;Aldir Blanc
aline-calixto;Mulher;1980-1989;RJ;Aline Calixto
almir-guineto;Homem;1940-1949;RJ;Almir Guineto
aluisio-machado;Homem;1930-1939;RJ;Aluisio Machado
ana-costa;Mulher;1960-1969;RJ;Ana Costa
aniceto-do-imperio;Homem;1910-1919;RJ;Aniceto Do Império
aracy-cortes;Mulher;1900-1909;RJ;Aracy Cortês
aracy-de-almeida;Mulher;1910-1919;RJ;Aracy De Almeida
arlindo-cruz;Homem;1950-1959;RJ;Arlindo Cruz
arlindo-neto;Homem;1990-1999;RJ;Arlindo Neto
aroldo-melodia;Homem;1930-1939;RJ;Aroldo Melodia
art-popular;Grupo;;;Art Popular
ary-barroso;Homem;1900-1909;MG;Ary Barroso
assis-valente;Homem;1910-1919;BA;Assis Valente
ataulfo-alves;Homem;1900-1909;MG;Ataulfo Alves
bebeto;Homem;1940-1949;SP;Bebeto
benito-di-paula;Homem;1940-1949;RJ;Benito Di Paula
beth-carvalho;Mulher;1940-1949;RJ;Beth Carvalho
beto-sem-braco;Homem;1940-1949;RJ;Beto Sem Braço
bezerra-da-silva;Homem;1920-1929;PE;Bezerra Da Silva
caetano-veloso;Homem;1940-1949;BA;Caetano Veloso
candeia;Homem;1930-1939;RJ;Candeia
carmen-miranda;Mulher;1900-1909;Portugal;Carmen Miranda
cartola;Homem;1900-1909;RJ;Cartola
casquinha-da-portela;Homem;1920-1929;RJ;Casquinha Da Portela
casuarina;Grupo;;;Casuarina
celino-dias;Homem;1960-1969;RJ;Celino Dias
chico-buarque;Homem;1940-1949;RJ;Chico Buarque
chico-da-silva;Homem;1940-1949;AM;Chico Da Silva
chrigor;Homem;1970-1979;SP;Chrigor
clara-nunes;Mulher;1940-1949;MG;Clara Nunes
clementina-de-jesus;Mulher;1900-1909;RJ;Clementina De Jesus
clovis-pe;Homem;1970-1979;RJ;Clovis Pê
cristina-buarque;Mulher;1950-1959;RJ;Cristina Buarque
daniel-collete;Homem;1960-1969;RJ;Daniel Collete
darlan-alves;Homem;1970-1979;DF;Darlan Alves
delcio-carvalho;Homem;1930-1939;RJ;Delcio Carvalho
dicro;Homem;1940-1949;RJ;Dicró
diogo-nogueira;Homem;1980-1989;RJ;Diogo Nogueira
djalma-pires;Homem;;;Djalma Pires
djavan;Homem;1940-1949;AL;Djavan
dominguinhos-do-estacio;Homem;1940-1949;RJ;Dominguinhos Do Estácio
dona-ivone-lara;Mulher;1920-1929;RJ;Dona Ivone Lara
donga;Homem;1880-1889;RJ;Donga
dorina;Mulher;1960-1969;RJ;Dorina
dorival-caymmi;Homem;1910-1919;BA;Dorival Caymmi
dudu-nobre;Homem;1970-1979;RJ;Dudu Nobre
ederaldo-gentil;Homem;1940-1949;BA;Ederaldo Gentil
eliana-de-lima;Mulher;1960-1969;SP;Eliana De Lima
elizeth-cardoso;Mulher;1920-1929;RJ;Elizeth Cardoso
elton-medeiros;Homem;1930-1939;RJ;Elton Medeiros
elza-soares;Mulher;1930-1939;RJ;Elza Soares
ernesto-teixeira;Homem;1960-1969;SP;Ernesto Teixeira
farofa-carioca;Grupo;;;Farofa Carioca
ferrugem;Homem;1980-1989;RJ;Ferrugem
francisco-alves;Homem;1890-1899;RJ;Francisco Alves
fred-camacho;Homem;1970-1979;RJ;Fred Camacho
fundo-de-quintal;Grupo;;;Fundo De Quintal
gabriel-cavalcante;Homem;1980-1989;RJ;Gabriel Cavalcante
geraldo-pereira;Homem;1910-1919;MG;Geraldo Pereira
germano-mathias;Homem;1930-1939;SP;Germano Mathias
gilsinho;Homem;1970-1979;RJ;Gilsinho
gilson-bernini;Homem;1960-1969;RJ;Gilson Bernini
gilson-de-souza;Homem;1950-1959;SP;Gilson De Souza
gonzaguinha;Homem;1940-1949;RJ;Gonzaguinha
graca-braga;Mulher;1950-1959;SP;Graca Braga
grazzi-brasil;Mulher;1980-1989;SP;Grazzi Brasil
grupo-arruda;Grupo;;;Grupo Arruda
heitor-dos-prazeres;Homem;1890-1899;RJ;Heitor Dos Prazeres
homero-ferreira;Homem;1920-1929;RJ;Homero Ferreira
igor-vianna;Homem;1970-1979;RJ;Igor Vianna
inimigos-da-hp;Grupo;;;Inimidos da Hp
ismael-silva;Homem;1900-1909;RJ;Ismael Silva
ito-melodia;Homem;1960-1969;RJ;Ito Melodia
ivan-ferreira;Homem;1920-1929;RJ;Ivan Ferreira
j-piedade;Homem;1920-1929;RJ;J. Piedade
jackson-do-pandeiro;Homem;1910-1919;PB;Jackson do Pandeiro
jamelao;Homem;1910-1919;RJ;Jamelão
jeito-moleque;Grupo;;;Jeito Moleque
joao-bosco;Homem;1940-1949;MG;João Bosco
joao-da-baiana;Homem;1880-1889;RJ;João da Baiana
joao-gilberto;Homem;1930-1939;BA;João Gilberto
joao-nogueira;Homem;1940-1949;RJ;João Nogueira
jorge-aragao;Homem;1940-1949;RJ;Jorge Aragão
jorge-ben-jor;Homem;1940-1949;RJ;Jorge Ben Jor
jorge-goulart;Homem;1920-1929;RJ;Jorge Goulart
jorge-veiga;Homem;1910-1919;RJ;Jorge Veiga
jorginho-do-imperio;Homem;1940-1949;RJ;Jorginho do Império
jovelina-perola-negra;Mulher;1940-1949;RJ;Jovelina Pérola Negra
ju-moraes;Mulher;1980-1989;BA;Ju Moraes
juninho-thybau;Homem;1990-1999;RJ;Juninho Thybau
karametade;Grupo;;;Karametade
katinguele;Grupo;;;Katinguelê
laila;Mulher;1940-1949;RJ;Laila
lamartine-babo;Homem;1900-1909;RJ;Lamartine Babo
leandro-sapucahy;Homem;1970-1979;RJ;Leandro Sapucahy
leci-brandao;Mulher;1940-1949;RJ;Leci Brandão
leo-romano;Homem;1930-1939;RS;Leo Romano
leo-russo;Homem;1980-1989;RJ;Leo Russo
leonardo-bessa;Homem;1970-1979;RJ;Leonardo Bessa
luciana-mello;Mulher;1970-1979;SP;Luciana Mello
luiz-ayrao;Homem;1940-1949;RJ;Luiz Airão
luiz-carlos-da-vila;Homem;1940-1949;RJ;Luiz Carlos da Vila
luiz-melodia;Homem;1950-1959;RJ;Luiz Melodia
luiz-wanderley;Homem;1930-1939;AL;Luiz Wanderley
luiza-dionizio;Homem;1960-1969;RJ;Luiza Dionizio
makley-matos;Homem;1970-1979;ES;Makley Matos
manaceia;Homem;1920-1929;RJ;Manaceia
marcos-sacramento;Homem;1960-1969;RJ;Marcos Sacramento
marcos-valle;Homem;1940-1949;RJ;Marcos Valle
maria-bethania;Mulher;1940-1949;BA;Maria Bethânia
maria-rita;Mulher;1970-1979;SP;Maria Rita
marilu;Mulher;1910-1919;RJ;Marilu
martinho-da-vila;Homem;1930-1939;RJ;Martinho da Vila
mauro-diniz;Homem;1950-1959;RJ;Mauro Diniz
mestre-marcal;Homem;1930-1939;RJ;Mestre Marçal
mirianes-zabot;Mulher;1980-1989;RS;Mirianes Zabot
moacyr-luz;Homem;1950-1959;RJ;Moacyr Luz
molejo;Grupo;;;Molejo
monarco;Homem;1930-1939;RJ;Monarco
moreira-da-silva;Homem;1900-1909;RJ;Moreira da Silva
mumuzinho;Homem;1980-1989;RJ;Mumuzinho
nadinho-da-ilha;Homem;1930-1939;RJ;Nadinho da ilha
nara-leao;Mulher;1930-1939;ES;Nara Leão
nego-alvaro;Homem;1980-1989;RJ;Nego Alvaro
negritude-junior;Grupo;;;Negritude Junior
neguinho-da-beija-flor;Homem;1940-1949;RJ;Neguinho da Beija-Flor
nei-lopes;Homem;1940-1949;RJ;Nei Lopes
nelson-cavaquinho;Homem;1910-1919;RJ;Nelson Cavaquinho
nelson-rufino;Homem;1940-1949;BA;Nelson Rufino
nelson-sargento;Homem;1920-1929;RJ;Nelson Sargento
nilze-carvalho;Mulher;1960-1969;RJ;Nilze Carvalho
noca-da-portela;Homem;1930-1939;MG;Noca da Portela
noel-rosa;Homem;1910-1919;RJ;Noel Rosa
noite-ilustrada;Homem;1920-1929;MG;Noite Ilustrada
noriel-vilela;Homem;1930-1939;RJ;Noriel Vilela
novos-baianos;Grupo;;;Novos Baianos
orlando-silva;Homem;1910-1919;RJ;Orlando Silva
os-morenos;Grupo;;;Os Morenos
os-travessos;Grupo;;;Os Travessos
osvaldinho-da-cuica;Homem;1940-1949;SP;Osvaldino da Cuica
pagode-da-tia-doca;Grupo;;;Pagode da Tia Doca
paulinho-da-viola;Homem;1940-1949;RJ;Paulinho da Viola
paulo-cesar-pinheiro;Homem;1940-1949;RJ;Paulo Cesar Pinheiro
pedrinho-da-flor;Homem;1940-1949;RJ;Pedrinho da Flor
pedrinho-rodrigues;Homem;1930-1939;SE;Pedrinho Rodrigues
pedro-miranda;Homem;1970-1979;RJ;Pedro Miranda
pericles;Homem;1960-1969;SP;Péricles
pixinguinha;Homem;1890-1899;RJ;Pixinguinha
pixote;Grupo;;;Pixote
pixule;Homem;1960-1969;RJ;Pixulé
pretinho-da-serrinha;Homem;1970-1979;RJ;Pretinho da Serrinha
preto-joia;Homem;1950-1959;RJ;Preto Jóia
prettos;Grupo;;;Prettos
quinho;Homem;1950-1959;RJ;Quinho
renato-da-rocinha;Homem;1970-1979;RJ;Renato da Rocinha
renato-ferreira;Homem;1920-1929;RJ;Renato Ferreira
riachao;Homem;1920-1929;BA;Riachão
rildo-hora;Homem;1930-1939;PE;Rildo Hora
roberta-sa;Mulher;1980-1989;RN;Roberta Sá
roberto-ribeiro;Homem;1940-1949;RJ;Roberto Ribeiro
roberto-silva;Homem;1920-1929;RJ;Roberto Silva
rodrigo-carvalho;Homem;1980-1989;RJ;Rodrigo Carvalho
roque-ferreira;Homem;1940-1949;BA;Roque Ferreira
rosalia-de-souza;Mulher;1960-1969;RJ;Rosalia de Souza
samba-do-trabalhador;Grupo;;;Samba do Trabalhador
serginho-do-porto;Homem;1960-1969;RJ;Serginho do Porto
serginho-meriti;Homem;1950-1959;RJ;Serginho Meriti
seu-jorge;Homem;1970-1979;RJ;Seu Jorge
silas-de-oliveira;Homem;1910-1919;RJ;Silas de Oliveira
simone;Mulher;1950-1959;BA;Simone
sinho;Homem;1880-1889;RJ;Sinhô
sombrinha;Homem;1950-1959;SP;Sombrinha
sorriso-maroto;Grupo;;;Sorriso Maroto
soweto;Grupo;;;Soweto
tantinho-da-mangueira;Homem;1940-1949;RJ;Tantinho da Mangueira
teresa-cristina;Mulher;1960-1969;RJ;Teresa Cristina
thiago-brito;Homem;1980-1989;RJ;Thiago Brito
thiaguinho;Homem;1980-1989;SP;Thiaguinho
tom-jobim;Homem;1920-1929;RJ;Tom Jobim
toninho-geraes;Homem;1960-1969;MG;Toninho Geraes
toquinho;Homem;1940-1949;SP;Toquinho
trio-calafrio;Grupo;;;Trio Calafrio
turma-do-pagode;Grupo;;;Turma do Pagode
vassourinha;Homem;1920-1929;SP;Vassourinha
vinicius-de-moraes;Homem;1910-1919;RJ;Vinicius de Moraes
walter-alfaiate;Homem;1930-1939;RJ;Walter Alfaiate
wander-pires;Homem;1970-1979;RJ;Wander Pires
wilson-batista;Homem;1910-1919;RJ;Wilson Batista
wilson-das-neves;Homem;1930-1939;RJ;Wilson Das Neves
wilson-moreira;Homem;1930-1939;RJ;Wilson Moreira
xande-de-pilares;Homem;1960-1969;RJ;Xande de Pilares
ze-keti;Homem;1920-1929;RJ;Zé Keti
ze-paulo-sierra;Homem;1970-1979;RJ;Zé Paulo Sierra
zeca-pagodinho;Homem;1950-1959;RJ;Zeca Pagodinho